LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2
10022-3,Synthetic LOINC code 10022-3,Synthetic 10022-3,Synthetic 10022-3,
10023-0,Synthetic LOINC code 10023-0,Synthetic 10023-0,Synthetic 10023-0,
10024-1,Synthetic LOINC code 10024-1,Synthetic 10024-1,Synthetic 10024-1,
10025-7,Synthetic LOINC code 10025-7,Synthetic 10025-7,Synthetic 10025-7,
10026-0,Synthetic LOINC code 10026-0,Synthetic 10026-0,Synthetic 10026-0,
10027-5,Synthetic LOINC code 10027-5,Synthetic 10027-5,Synthetic 10027-5,
10028-9,Synthetic LOINC code 10028-9,Synthetic 10028-9,Synthetic 10028-9,
10029-2,Synthetic LOINC code 10029-2,Synthetic 10029-2,Synthetic 10029-2,
10030-8,Synthetic LOINC code 10030-8,Synthetic 10030-8,Synthetic 10030-8,
10031-4,Synthetic LOINC code 10031-4,Synthetic 10031-4,Synthetic 10031-4,
10032-2,Synthetic LOINC code 10032-2,Synthetic 10032-2,Synthetic 10032-2,
10033-0,Synthetic LOINC code 10033-0,Synthetic 10033-0,Synthetic 10033-0,
10034-6,Synthetic LOINC code 10034-6,Synthetic 10034-6,Synthetic 10034-6,
10035-8,Synthetic LOINC code 10035-8,Synthetic 10035-8,Synthetic 10035-8,
10036-2,Synthetic LOINC code 10036-2,Synthetic 10036-2,Synthetic 10036-2,
10037-7,Synthetic LOINC code 10037-7,Synthetic 10037-7,Synthetic 10037-7,
10038-7,Synthetic LOINC code 10038-7,Synthetic 10038-7,Synthetic 10038-7,
10039-6,Synthetic LOINC code 10039-6,Synthetic 10039-6,Synthetic 10039-6,
10040-0,Synthetic LOINC code 10040-0,Synthetic 10040-0,Synthetic 10040-0,
10041-7,Synthetic LOINC code 10041-7,Synthetic 10041-7,Synthetic 10041-7,
10042-5,Synthetic LOINC code 10042-5,Synthetic 10042-5,Synthetic 10042-5,
10043-5,Synthetic LOINC code 10043-5,Synthetic 10043-5,Synthetic 10043-5,
10044-5,Synthetic LOINC code 10044-5,Synthetic 10044-5,Synthetic 10044-5,
10045-0,Synthetic LOINC code 10045-0,Synthetic 10045-0,Synthetic 10045-0,
10046-8,Synthetic LOINC code 10046-8,Synthetic 10046-8,Synthetic 10046-8,
10047-3,Synthetic LOINC code 10047-3,Synthetic 10047-3,Synthetic 10047-3,
10048-5,Synthetic LOINC code 10048-5,Synthetic 10048-5,Synthetic 10048-5,
10049-4,Synthetic LOINC code 10049-4,Synthetic 10049-4,Synthetic 10049-4,
10050-9,Synthetic LOINC code 10050-9,Synthetic 10050-9,Synthetic 10050-9,
10051-2,Synthetic LOINC code 10051-2,Synthetic 10051-2,Synthetic 10051-2,
10052-5,Synthetic LOINC code 10052-5,Synthetic 10052-5,Synthetic 10052-5,
10053-3,Synthetic LOINC code 10053-3,Synthetic 10053-3,Synthetic 10053-3,
10054-1,Synthetic LOINC code 10054-1,Synthetic 10054-1,Synthetic 10054-1,
10055-9,Synthetic LOINC code 10055-9,Synthetic 10055-9,Synthetic 10055-9,
10056-5,Synthetic LOINC code 10056-5,Synthetic 10056-5,Synthetic 10056-5,
10057-9,Synthetic LOINC code 10057-9,Synthetic 10057-9,Synthetic 10057-9,
10058-1,Synthetic LOINC code 10058-1,Synthetic 10058-1,Synthetic 10058-1,
10059-4,Synthetic LOINC code 10059-4,Synthetic 10059-4,Synthetic 10059-4,
10060-2,Synthetic LOINC code 10060-2,Synthetic 10060-2,Synthetic 10060-2,
10061-8,Synthetic LOINC code 10061-8,Synthetic 10061-8,Synthetic 10061-8,
10062-0,Synthetic LOINC code 10062-0,Synthetic 10062-0,Synthetic 10062-0,
10063-7,Synthetic LOINC code 10063-7,Synthetic 10063-7,Synthetic 10063-7,
10064-5,Synthetic LOINC code 10064-5,Synthetic 10064-5,Synthetic 10064-5,
10065-4,Synthetic LOINC code 10065-4,Synthetic 10065-4,Synthetic 10065-4,
10066-1,Synthetic LOINC code 10066-1,Synthetic 10066-1,Synthetic 10066-1,
10067-5,Synthetic LOINC code 10067-5,Synthetic 10067-5,Synthetic 10067-5,
10068-2,Synthetic LOINC code 10068-2,Synthetic 10068-2,Synthetic 10068-2,
10069-9,Synthetic LOINC code 10069-9,Synthetic 10069-9,Synthetic 10069-9,
10070-0,Synthetic LOINC code 10070-0,Synthetic 10070-0,Synthetic 10070-0,
10071-2,Synthetic LOINC code 10071-2,Synthetic 10071-2,Synthetic 10071-2,
10072-0,Synthetic LOINC code 10072-0,Synthetic 10072-0,Synthetic 10072-0,
10073-8,Synthetic LOINC code 10073-8,Synthetic 10073-8,Synthetic 10073-8,
10074-5,Synthetic LOINC code 10074-5,Synthetic 10074-5,Synthetic 10074-5,
10075-2,Synthetic LOINC code 10075-2,Synthetic 10075-2,Synthetic 10075-2,
10076-4,Synthetic LOINC code 10076-4,Synthetic 10076-4,Synthetic 10076-4,
10077-4,Synthetic LOINC code 10077-4,Synthetic 10077-4,Synthetic 10077-4,
10078-1,Synthetic LOINC code 10078-1,Synthetic 10078-1,Synthetic 10078-1,
10079-3,Synthetic LOINC code 10079-3,Synthetic 10079-3,Synthetic 10079-3,
10080-6,Synthetic LOINC code 10080-6,Synthetic 10080-6,Synthetic 10080-6,
10081-6,Synthetic LOINC code 10081-6,Synthetic 10081-6,Synthetic 10081-6,
10082-1,Synthetic LOINC code 10082-1,Synthetic 10082-1,Synthetic 10082-1,
10083-1,Synthetic LOINC code 10083-1,Synthetic 10083-1,Synthetic 10083-1,
10084-3,Synthetic LOINC code 10084-3,Synthetic 10084-3,Synthetic 10084-3,
10085-4,Synthetic LOINC code 10085-4,Synthetic 10085-4,Synthetic 10085-4,
10086-3,Synthetic LOINC code 10086-3,Synthetic 10086-3,Synthetic 10086-3,
10087-5,Synthetic LOINC code 10087-5,Synthetic 10087-5,Synthetic 10087-5,
10088-0,Synthetic LOINC code 10088-0,Synthetic 10088-0,Synthetic 10088-0,
10089-3,Synthetic LOINC code 10089-3,Synthetic 10089-3,Synthetic 10089-3,
10090-9,Synthetic LOINC code 10090-9,Synthetic 10090-9,Synthetic 10090-9,
10091-5,Synthetic LOINC code 10091-5,Synthetic 10091-5,Synthetic 10091-5,
10092-5,Synthetic LOINC code 10092-5,Synthetic 10092-5,Synthetic 10092-5,
10093-9,Synthetic LOINC code 10093-9,Synthetic 10093-9,Synthetic 10093-9,
10094-2,Synthetic LOINC code 10094-2,Synthetic 10094-2,Synthetic 10094-2,
10095-2,Synthetic LOINC code 10095-2,Synthetic 10095-2,Synthetic 10095-2,
10096-0,Synthetic LOINC code 10096-0,Synthetic 10096-0,Synthetic 10096-0,
10097-0,Synthetic LOINC code 10097-0,Synthetic 10097-0,Synthetic 10097-0,
10098-2,Synthetic LOINC code 10098-2,Synthetic 10098-2,Synthetic 10098-2,
10099-9,Synthetic LOINC code 10099-9,Synthetic 10099-9,Synthetic 10099-9,
10100-0,Synthetic LOINC code 10100-0,Synthetic 10100-0,Synthetic 10100-0,
10101-8,Synthetic LOINC code 10101-8,Synthetic 10101-8,Synthetic 10101-8,
10102-5,Synthetic LOINC code 10102-5,Synthetic 10102-5,Synthetic 10102-5,
10103-5,Synthetic LOINC code 10103-5,Synthetic 10103-5,Synthetic 10103-5,
10104-4,Synthetic LOINC code 10104-4,Synthetic 10104-4,Synthetic 10104-4,
10105-0,Synthetic LOINC code 10105-0,Synthetic 10105-0,Synthetic 10105-0,
10106-6,Synthetic LOINC code 10106-6,Synthetic 10106-6,Synthetic 10106-6,
10107-8,Synthetic LOINC code 10107-8,Synthetic 10107-8,Synthetic 10107-8,
10108-7,Synthetic LOINC code 10108-7,Synthetic 10108-7,Synthetic 10108-7,
10109-8,Synthetic LOINC code 10109-8,Synthetic 10109-8,Synthetic 10109-8,
10110-3,Synthetic LOINC code 10110-3,Synthetic 10110-3,Synthetic 10110-3,
10111-0,Synthetic LOINC code 10111-0,Synthetic 10111-0,Synthetic 10111-0,
10112-6,Synthetic LOINC code 10112-6,Synthetic 10112-6,Synthetic 10112-6,
10113-6,Synthetic LOINC code 10113-6,Synthetic 10113-6,Synthetic 10113-6,
10114-0,Synthetic LOINC code 10114-0,Synthetic 10114-0,Synthetic 10114-0,
10115-3,Synthetic LOINC code 10115-3,Synthetic 10115-3,Synthetic 10115-3,
10116-2,Synthetic LOINC code 10116-2,Synthetic 10116-2,Synthetic 10116-2,
10117-0,Synthetic LOINC code 10117-0,Synthetic 10117-0,Synthetic 10117-0,
10118-1,Synthetic LOINC code 10118-1,Synthetic 10118-1,Synthetic 10118-1,
10119-1,Synthetic LOINC code 10119-1,Synthetic 10119-1,Synthetic 10119-1,
10120-3,Synthetic LOINC code 10120-3,Synthetic 10120-3,Synthetic 10120-3,
10121-1,Synthetic LOINC code 10121-1,Synthetic 10121-1,Synthetic 10121-1,
10122-6,Synthetic LOINC code 10122-6,Synthetic 10122-6,Synthetic 10122-6,
10123-2,Synthetic LOINC code 10123-2,Synthetic 10123-2,Synthetic 10123-2,
10124-2,Synthetic LOINC code 10124-2,Synthetic 10124-2,Synthetic 10124-2,
10125-2,Synthetic LOINC code 10125-2,Synthetic 10125-2,Synthetic 10125-2,
10126-8,Synthetic LOINC code 10126-8,Synthetic 10126-8,Synthetic 10126-8,
10127-7,Synthetic LOINC code 10127-7,Synthetic 10127-7,Synthetic 10127-7,
10128-7,Synthetic LOINC code 10128-7,Synthetic 10128-7,Synthetic 10128-7,
10129-5,Synthetic LOINC code 10129-5,Synthetic 10129-5,Synthetic 10129-5,
10130-1,Synthetic LOINC code 10130-1,Synthetic 10130-1,Synthetic 10130-1,
10131-1,Synthetic LOINC code 10131-1,Synthetic 10131-1,Synthetic 10131-1,
10132-5,Synthetic LOINC code 10132-5,Synthetic 10132-5,Synthetic 10132-5,
10133-8,Synthetic LOINC code 10133-8,Synthetic 10133-8,Synthetic 10133-8,
10134-3,Synthetic LOINC code 10134-3,Synthetic 10134-3,Synthetic 10134-3,
10135-8,Synthetic LOINC code 10135-8,Synthetic 10135-8,Synthetic 10135-8,
10136-0,Synthetic LOINC code 10136-0,Synthetic 10136-0,Synthetic 10136-0,
10137-9,Synthetic LOINC code 10137-9,Synthetic 10137-9,Synthetic 10137-9,
10138-4,Synthetic LOINC code 10138-4,Synthetic 10138-4,Synthetic 10138-4,
10139-8,Synthetic LOINC code 10139-8,Synthetic 10139-8,Synthetic 10139-8,
10140-9,Synthetic LOINC code 10140-9,Synthetic 10140-9,Synthetic 10140-9,
10141-2,Synthetic LOINC code 10141-2,Synthetic 10141-2,Synthetic 10141-2,
10142-3,Synthetic LOINC code 10142-3,Synthetic 10142-3,Synthetic 10142-3,
10143-0,Synthetic LOINC code 10143-0,Synthetic 10143-0,Synthetic 10143-0,
10144-7,Synthetic LOINC code 10144-7,Synthetic 10144-7,Synthetic 10144-7,
10145-5,Synthetic LOINC code 10145-5,Synthetic 10145-5,Synthetic 10145-5,
10146-0,Synthetic LOINC code 10146-0,Synthetic 10146-0,Synthetic 10146-0,
10147-7,Synthetic LOINC code 10147-7,Synthetic 10147-7,Synthetic 10147-7,
10148-6,Synthetic LOINC code 10148-6,Synthetic 10148-6,Synthetic 10148-6,
10149-9,Synthetic LOINC code 10149-9,Synthetic 10149-9,Synthetic 10149-9,
10150-7,Synthetic LOINC code 10150-7,Synthetic 10150-7,Synthetic 10150-7,
10151-9,Synthetic LOINC code 10151-9,Synthetic 10151-9,Synthetic 10151-9,
10152-7,Synthetic LOINC code 10152-7,Synthetic 10152-7,Synthetic 10152-7,
10153-6,Synthetic LOINC code 10153-6,Synthetic 10153-6,Synthetic 10153-6,
10154-0,Synthetic LOINC code 10154-0,Synthetic 10154-0,Synthetic 10154-0,
10155-5,Synthetic LOINC code 10155-5,Synthetic 10155-5,Synthetic 10155-5,
10156-1,Synthetic LOINC code 10156-1,Synthetic 10156-1,Synthetic 10156-1,
10157-0,Synthetic LOINC code 10157-0,Synthetic 10157-0,Synthetic 10157-0,
10158-8,Synthetic LOINC code 10158-8,Synthetic 10158-8,Synthetic 10158-8,
10159-3,Synthetic LOINC code 10159-3,Synthetic 10159-3,Synthetic 10159-3,
10160-9,Synthetic LOINC code 10160-9,Synthetic 10160-9,Synthetic 10160-9,
10161-8,Synthetic LOINC code 10161-8,Synthetic 10161-8,Synthetic 10161-8,
10162-3,Synthetic LOINC code 10162-3,Synthetic 10162-3,Synthetic 10162-3,
10163-3,Synthetic LOINC code 10163-3,Synthetic 10163-3,Synthetic 10163-3,
10164-6,Synthetic LOINC code 10164-6,Synthetic 10164-6,Synthetic 10164-6,
10165-1,Synthetic LOINC code 10165-1,Synthetic 10165-1,Synthetic 10165-1,
10166-4,Synthetic LOINC code 10166-4,Synthetic 10166-4,Synthetic 10166-4,
10167-9,Synthetic LOINC code 10167-9,Synthetic 10167-9,Synthetic 10167-9,
10168-8,Synthetic LOINC code 10168-8,Synthetic 10168-8,Synthetic 10168-8,
10169-5,Synthetic LOINC code 10169-5,Synthetic 10169-5,Synthetic 10169-5,
10170-9,Synthetic LOINC code 10170-9,Synthetic 10170-9,Synthetic 10170-9,
10171-6,Synthetic LOINC code 10171-6,Synthetic 10171-6,Synthetic 10171-6,
10172-7,Synthetic LOINC code 10172-7,Synthetic 10172-7,Synthetic 10172-7,
10173-5,Synthetic LOINC code 10173-5,Synthetic 10173-5,Synthetic 10173-5,
10174-4,Synthetic LOINC code 10174-4,Synthetic 10174-4,Synthetic 10174-4,
10175-9,Synthetic LOINC code 10175-9,Synthetic 10175-9,Synthetic 10175-9,
10176-9,Synthetic LOINC code 10176-9,Synthetic 10176-9,Synthetic 10176-9,
10177-6,Synthetic LOINC code 10177-6,Synthetic 10177-6,Synthetic 10177-6,
10178-0,Synthetic LOINC code 10178-0,Synthetic 10178-0,Synthetic 10178-0,
10179-0,Synthetic LOINC code 10179-0,Synthetic 10179-0,Synthetic 10179-0,
10180-1,Synthetic LOINC code 10180-1,Synthetic 10180-1,Synthetic 10180-1,
10181-2,Synthetic LOINC code 10181-2,Synthetic 10181-2,Synthetic 10181-2,
10182-0,Synthetic LOINC code 10182-0,Synthetic 10182-0,Synthetic 10182-0,
10183-5,Synthetic LOINC code 10183-5,Synthetic 10183-5,Synthetic 10183-5,
10184-0,Synthetic LOINC code 10184-0,Synthetic 10184-0,Synthetic 10184-0,
10185-0,Synthetic LOINC code 10185-0,Synthetic 10185-0,Synthetic 10185-0,
10186-4,Synthetic LOINC code 10186-4,Synthetic 10186-4,Synthetic 10186-4,
10187-4,Synthetic LOINC code 10187-4,Synthetic 10187-4,Synthetic 10187-4,
10188-8,Synthetic LOINC code 10188-8,Synthetic 10188-8,Synthetic 10188-8,
10189-8,Synthetic LOINC code 10189-8,Synthetic 10189-8,Synthetic 10189-8,
10190-7,Synthetic LOINC code 10190-7,Synthetic 10190-7,Synthetic 10190-7,
10191-0,Synthetic LOINC code 10191-0,Synthetic 10191-0,Synthetic 10191-0,
10192-1,Synthetic LOINC code 10192-1,Synthetic 10192-1,Synthetic 10192-1,
10193-4,Synthetic LOINC code 10193-4,Synthetic 10193-4,Synthetic 10193-4,
10194-3,Synthetic LOINC code 10194-3,Synthetic 10194-3,Synthetic 10194-3,
10195-6,Synthetic LOINC code 10195-6,Synthetic 10195-6,Synthetic 10195-6,
10196-5,Synthetic LOINC code 10196-5,Synthetic 10196-5,Synthetic 10196-5,
10197-4,Synthetic LOINC code 10197-4,Synthetic 10197-4,Synthetic 10197-4,
10198-0,Synthetic LOINC code 10198-0,Synthetic 10198-0,Synthetic 10198-0,
10199-3,Synthetic LOINC code 10199-3,Synthetic 10199-3,Synthetic 10199-3,
10200-9,Synthetic LOINC code 10200-9,Synthetic 10200-9,Synthetic 10200-9,
10201-5,Synthetic LOINC code 10201-5,Synthetic 10201-5,Synthetic 10201-5,
10202-0,Synthetic LOINC code 10202-0,Synthetic 10202-0,Synthetic 10202-0,
10203-5,Synthetic LOINC code 10203-5,Synthetic 10203-5,Synthetic 10203-5,
10204-6,Synthetic LOINC code 10204-6,Synthetic 10204-6,Synthetic 10204-6,
10205-9,Synthetic LOINC code 10205-9,Synthetic 10205-9,Synthetic 10205-9,
10206-6,Synthetic LOINC code 10206-6,Synthetic 10206-6,Synthetic 10206-6,
10207-7,Synthetic LOINC code 10207-7,Synthetic 10207-7,Synthetic 10207-7,
10208-5,Synthetic LOINC code 10208-5,Synthetic 10208-5,Synthetic 10208-5,
10209-8,Synthetic LOINC code 10209-8,Synthetic 10209-8,Synthetic 10209-8,
10210-6,Synthetic LOINC code 10210-6,Synthetic 10210-6,Synthetic 10210-6,
10211-2,Synthetic LOINC code 10211-2,Synthetic 10211-2,Synthetic 10211-2,
10212-1,Synthetic LOINC code 10212-1,Synthetic 10212-1,Synthetic 10212-1,
10213-3,Synthetic LOINC code 10213-3,Synthetic 10213-3,Synthetic 10213-3,
10214-4,Synthetic LOINC code 10214-4,Synthetic 10214-4,Synthetic 10214-4,
10215-3,Synthetic LOINC code 10215-3,Synthetic 10215-3,Synthetic 10215-3,
10216-8,Synthetic LOINC code 10216-8,Synthetic 10216-8,Synthetic 10216-8,
10217-5,Synthetic LOINC code 10217-5,Synthetic 10217-5,Synthetic 10217-5,
10218-2,Synthetic LOINC code 10218-2,Synthetic 10218-2,Synthetic 10218-2,
10219-1,Synthetic LOINC code 10219-1,Synthetic 10219-1,Synthetic 10219-1,
10220-7,Synthetic LOINC code 10220-7,Synthetic 10220-7,Synthetic 10220-7,
10221-5,Synthetic LOINC code 10221-5,Synthetic 10221-5,Synthetic 10221-5,
10222-9,Synthetic LOINC code 10222-9,Synthetic 10222-9,Synthetic 10222-9,
10223-6,Synthetic LOINC code 10223-6,Synthetic 10223-6,Synthetic 10223-6,
10224-3,Synthetic LOINC code 10224-3,Synthetic 10224-3,Synthetic 10224-3,
10225-4,Synthetic LOINC code 10225-4,Synthetic 10225-4,Synthetic 10225-4,
10226-9,Synthetic LOINC code 10226-9,Synthetic 10226-9,Synthetic 10226-9,
10227-2,Synthetic LOINC code 10227-2,Synthetic 10227-2,Synthetic 10227-2,
10228-1,Synthetic LOINC code 10228-1,Synthetic 10228-1,Synthetic 10228-1,
10229-4,Synthetic LOINC code 10229-4,Synthetic 10229-4,Synthetic 10229-4,
10230-8,Synthetic LOINC code 10230-8,Synthetic 10230-8,Synthetic 10230-8,
10231-8,Synthetic LOINC code 10231-8,Synthetic 10231-8,Synthetic 10231-8,
10232-0,Synthetic LOINC code 10232-0,Synthetic 10232-0,Synthetic 10232-0,
10233-9,Synthetic LOINC code 10233-9,Synthetic 10233-9,Synthetic 10233-9,
10234-6,Synthetic LOINC code 10234-6,Synthetic 10234-6,Synthetic 10234-6,
10235-3,Synthetic LOINC code 10235-3,Synthetic 10235-3,Synthetic 10235-3,
10236-7,Synthetic LOINC code 10236-7,Synthetic 10236-7,Synthetic 10236-7,
10237-7,Synthetic LOINC code 10237-7,Synthetic 10237-7,Synthetic 10237-7,
10238-8,Synthetic LOINC code 10238-8,Synthetic 10238-8,Synthetic 10238-8,
10239-6,Synthetic LOINC code 10239-6,Synthetic 10239-6,Synthetic 10239-6,
10240-2,Synthetic LOINC code 10240-2,Synthetic 10240-2,Synthetic 10240-2,
10241-5,Synthetic LOINC code 10241-5,Synthetic 10241-5,Synthetic 10241-5,
10242-7,Synthetic LOINC code 10242-7,Synthetic 10242-7,Synthetic 10242-7,
10243-4,Synthetic LOINC code 10243-4,Synthetic 10243-4,Synthetic 10243-4,
10244-9,Synthetic LOINC code 10244-9,Synthetic 10244-9,Synthetic 10244-9,
10245-0,Synthetic LOINC code 10245-0,Synthetic 10245-0,Synthetic 10245-0,
10246-6,Synthetic LOINC code 10246-6,Synthetic 10246-6,Synthetic 10246-6,
10247-8,Synthetic LOINC code 10247-8,Synthetic 10247-8,Synthetic 10247-8,
10248-5,Synthetic LOINC code 10248-5,Synthetic 10248-5,Synthetic 10248-5,
10249-5,Synthetic LOINC code 10249-5,Synthetic 10249-5,Synthetic 10249-5,
10250-7,Synthetic LOINC code 10250-7,Synthetic 10250-7,Synthetic 10250-7,
10251-0,Synthetic LOINC code 10251-0,Synthetic 10251-0,Synthetic 10251-0,
10252-5,Synthetic LOINC code 10252-5,Synthetic 10252-5,Synthetic 10252-5,
10253-2,Synthetic LOINC code 10253-2,Synthetic 10253-2,Synthetic 10253-2,
10254-4,Synthetic LOINC code 10254-4,Synthetic 10254-4,Synthetic 10254-4,
10255-6,Synthetic LOINC code 10255-6,Synthetic 10255-6,Synthetic 10255-6,
10256-4,Synthetic LOINC code 10256-4,Synthetic 10256-4,Synthetic 10256-4,
10257-2,Synthetic LOINC code 10257-2,Synthetic 10257-2,Synthetic 10257-2,
10258-6,Synthetic LOINC code 10258-6,Synthetic 10258-6,Synthetic 10258-6,
10259-5,Synthetic LOINC code 10259-5,Synthetic 10259-5,Synthetic 10259-5,
10260-5,Synthetic LOINC code 10260-5,Synthetic 10260-5,Synthetic 10260-5,
10261-2,Synthetic LOINC code 10261-2,Synthetic 10261-2,Synthetic 10261-2,
10262-2,Synthetic LOINC code 10262-2,Synthetic 10262-2,Synthetic 10262-2,
10263-8,Synthetic LOINC code 10263-8,Synthetic 10263-8,Synthetic 10263-8,
10264-9,Synthetic LOINC code 10264-9,Synthetic 10264-9,Synthetic 10264-9,
10265-3,Synthetic LOINC code 10265-3,Synthetic 10265-3,Synthetic 10265-3,
10266-3,Synthetic LOINC code 10266-3,Synthetic 10266-3,Synthetic 10266-3,
10267-7,Synthetic LOINC code 10267-7,Synthetic 10267-7,Synthetic 10267-7,
10268-6,Synthetic LOINC code 10268-6,Synthetic 10268-6,Synthetic 10268-6,
10269-0,Synthetic LOINC code 10269-0,Synthetic 10269-0,Synthetic 10269-0,
10270-6,Synthetic LOINC code 10270-6,Synthetic 10270-6,Synthetic 10270-6,
10271-9,Synthetic LOINC code 10271-9,Synthetic 10271-9,Synthetic 10271-9,
10272-0,Synthetic LOINC code 10272-0,Synthetic 10272-0,Synthetic 10272-0,
10273-3,Synthetic LOINC code 10273-3,Synthetic 10273-3,Synthetic 10273-3,
10274-8,Synthetic LOINC code 10274-8,Synthetic 10274-8,Synthetic 10274-8,
10275-9,Synthetic LOINC code 10275-9,Synthetic 10275-9,Synthetic 10275-9,
10276-0,Synthetic LOINC code 10276-0,Synthetic 10276-0,Synthetic 10276-0,
10277-3,Synthetic LOINC code 10277-3,Synthetic 10277-3,Synthetic 10277-3,
10278-0,Synthetic LOINC code 10278-0,Synthetic 10278-0,Synthetic 10278-0,
10279-6,Synthetic LOINC code 10279-6,Synthetic 10279-6,Synthetic 10279-6,
10280-5,Synthetic LOINC code 10280-5,Synthetic 10280-5,Synthetic 10280-5,
10281-6,Synthetic LOINC code 10281-6,Synthetic 10281-6,Synthetic 10281-6,
10282-2,Synthetic LOINC code 10282-2,Synthetic 10282-2,Synthetic 10282-2,
10283-3,Synthetic LOINC code 10283-3,Synthetic 10283-3,Synthetic 10283-3,
10284-9,Synthetic LOINC code 10284-9,Synthetic 10284-9,Synthetic 10284-9,
10285-0,Synthetic LOINC code 10285-0,Synthetic 10285-0,Synthetic 10285-0,
10286-2,Synthetic LOINC code 10286-2,Synthetic 10286-2,Synthetic 10286-2,
10287-3,Synthetic LOINC code 10287-3,Synthetic 10287-3,Synthetic 10287-3,
10288-9,Synthetic LOINC code 10288-9,Synthetic 10288-9,Synthetic 10288-9,
10289-7,Synthetic LOINC code 10289-7,Synthetic 10289-7,Synthetic 10289-7,
10290-5,Synthetic LOINC code 10290-5,Synthetic 10290-5,Synthetic 10290-5,
10291-7,Synthetic LOINC code 10291-7,Synthetic 10291-7,Synthetic 10291-7,
10292-8,Synthetic LOINC code 10292-8,Synthetic 10292-8,Synthetic 10292-8,
10293-8,Synthetic LOINC code 10293-8,Synthetic 10293-8,Synthetic 10293-8,
10294-1,Synthetic LOINC code 10294-1,Synthetic 10294-1,Synthetic 10294-1,
10295-1,Synthetic LOINC code 10295-1,Synthetic 10295-1,Synthetic 10295-1,
